Album,Artist,Genre,Favorite Songs,Rating
Avantdale Bowling Club,Avantdale Bowling Club,Jazz Rap,"Years Gone By, F(r)iends, Home",10
Crumbling,Mid-Air Thief,Folktronica,"These Chains, Gameun Deut, Why?",9.5
Golden Hour,Kacey Musgraves,Country Pop,"Golden Hour, Happy & Sad, Slow Burn",9.5
Room 25,Noname,Jazz Rap / Conscious Hip Hop,"Self, no name, Montego Bae",9
Wide Awake!,Parquet Courts,Art Punk / Indie Rock,"Freebird II, Tenderness, Total Football",9
God's Favorite Customer,Father John Misty,Chamber Pop,"Mr. Tillman, Hangout at the Gallows, God's Favorite Customer",8.5
Lush,Snail Mail,Indie Rock,"Pristine, Heat Wave, Stick",8.5
The Good Life,Sammy Rae & The Friends,Funk Pop,"Kick It to Me, The Feeling, Talk It Up",8.5
I Need to Start a Garden,Haley Heynderickx,Singer-Songwriter / Indie Folk,"The Bug Collector, No Face, Untitled God Song",8.5
Swimming,Mac Miller,Alternative R&B / Pop Rap,"Come Back to Earth, Small Worlds, Ladders",8
A Laughing Death in Meatspace,Tropical Fuck Storm,Art Punk,"Two Afternoons, Chameleon Paint, Antimatter Animals",8
Joy in the Wild Unknown,Ripe,Funk Pop,"Passerby, Flipside, Little Lighter",8
Soy Pablo,boy pablo,Bedroom Pop / Indie Pop,"Losing You, Feeling Lonely, Sick Feeling",8
TA13OO,Denzel Curry,Trap / Conscious Hip Hop,"CLOUT COBAIN, TABOO, SUMO",7
Bambi,Hippo Campus,Indie Pop,"Bambi, Golden, Doubt",7.5
Streams Of Thought Vol. 2,"Black Thought,Salaam Remi",East Coast Hip Hop / Conscious Hip Hop,"Fentanyl, Conception, History Unfolds",7.5
A Safety Meeting,Manwolves,Jazz Rap / Alternative R&B,"Runnin', Shkleepy, Reaper",7.5
A Brief Inquiry Into Online Relationships,The 1975,Art Pop,"Give Yourself A Try, Love It If We Made It, Be My Mistake",7.5
Invitation to Her's,Her's,Indie Pop,"Harvey, If You Know What's Right, Under Wraps",7.5
POST-,Jeff Rosenstock,Pop Punk / Indie Rock,"9/10, USA, All This Useless Energy",7.5
Wide Awake,Rayland Baxter,Alternative Country / Singer-Songwriter,"Strange American Dream, 79 Shiny Revolvers, Angeline",7
Living Room,Lawrence,Pop Funk,"Probably Up, More, Limbo",7
This Is It,The Greeting Committee,Indie Pop,"17, Is This It?, More",7
just friends,potsu,Lo-Fi Hip Hop,"take me there, letting go, gazebo",7
Angel Youth,Vansire,Dream Pop,"Halcyon Age, Angel Youth, Nice to See You",7
Hill Climber,Vulfpeck,Jazz Funk,"Half of the Way, Lonely Town, Darwin Derby",7
