Album,Artist
"Wincing The Night Away","The Shins"
"I Love You, Honeybear","Father John Misty"
"Room On Fire","The Strokes"
"Ultra Ego","Feed Me Jack"
"The Rise and Fall of Ziggy Stardust and the Spiders from Mars","David Bowie"
"WORRY.","Jeff Rosenstock"
"Chet Baker Sings","Chet Baker"
"Led Zeppelin IV","Led Zeppelin"
"Yume (ゆめ)","Lamp"
"Locket","Crumb"
"The Stranger","Billy Joel"
"Waltz For Debby","Bill Evans Trio"
"I'm Wide Awake, It's Morning","Bright Eyes"
"Apricot Princess","Rex Orange County"
"Yankee Hotel Foxtrot","Wilco"
"Whatever People Say I Am, That's What I'm Not","Arctic Monkeys"
"Careful Kid","Yabadum"
"Plastic Beach","Gorillaz"
"I Am","Earth, Wind & Fire"
"Aim and Ignite","fun."
